latitude,longitude,shock
51.1128166,17.0870266,0
51.1127483,17.0867666,1165
51.1126950,17.0864849,0
51.1126466,17.0862083,0
51.1125966,17.0859766,0
51.1125433,17.0857766,0
51.1125083,17.0856566,0
51.1125166,17.0856250,2032
51.1125383,17.0855816,1143
51.1125866,17.0854783,5404
51.1126783,17.0854166,1102
51.1128083,17.0854250,0
51.1129716,17.0854366,0
51.1131250,17.0854766,2834
51.1132766,17.0855016,3863
51.1134433,17.0854933,1166
51.1136083,17.0854633,1160
51.1137433,17.0853633,0
51.1138550,17.0852183,0
51.1139683,17.0850483,3867
51.1140733,17.0848633,1095
51.1141616,17.0846683,0
51.1142300,17.0844533,944
51.1142900,17.0842066,7095
51.1143416,17.0839533,2304
51.1143433,17.0836816,3039
51.1143033,17.0834316,0
51.1141800,17.0831983,966
51.1140433,17.0829650,2461
51.1139066,17.0827183,961
51.1138066,17.0824550,2111
51.1137416,17.0821583,4384
51.1137133,17.0819066,1566
51.1137150,17.0816300,2167
51.1137233,17.0813583,2960
51.1137416,17.0810900,3466
51.1137666,17.0808450,2198
51.1138016,17.0805750,1161
51.1138483,17.0802450,969
51.1139033,17.0799366,2455
51.1139766,17.0796100,0
51.1140300,17.0793250,4383
51.1140783,17.0790766,3361
51.1140883,17.0788883,5268
51.1141283,17.0786750,0
51.1141450,17.0784216,5686
51.1141650,17.0781733,3965
51.1141933,17.0779133,6668
51.1142183,17.0776483,0
51.1142333,17.0773950,2962
51.1142749,17.0771200,8211
51.1143166,17.0768750,3921
51.1143700,17.0766583,2688
51.1144916,17.0764333,2351
51.1146333,17.0763516,0
51.1148000,17.0763216,950
51.1149450,17.0762483,2157
51.1149816,17.0760350,2338
51.1150016,17.0757916,0
51.1150200,17.0755633,0
51.1150766,17.0752566,3221
51.1151166,17.0749416,0
51.1151683,17.0746716,0
51.1151783,17.0742599,5278
51.1150633,17.0740749,0
51.1149400,17.0739549,0
51.1148933,17.0738266,4975
51.1148816,17.0736566,0
51.1148600,17.0734633,1185
51.1148300,17.0732600,3943
51.1148116,17.0730366,2622
51.1148066,17.0728083,5656
51.1147966,17.0725650,2501
51.1147716,17.0723050,1021
51.1147483,17.0720416,0
51.1147300,17.0717733,944
51.1146866,17.0715416,1775
51.1145866,17.0713933,6105
51.1145300,17.0712466,2126
51.1144933,17.0710516,0
51.1144300,17.0708316,4278
51.1143449,17.0706100,0
51.1142783,17.0703433,0
51.1142083,17.0700700,0
51.1141216,17.0698233,0
51.1140516,17.0695533,0
51.1139783,17.0692700,0
51.1139016,17.0689800,0
51.1138250,17.0686883,0
51.1137233,17.0684133,0
51.1136533,17.0681166,2173
51.1136000,17.0678400,0
51.1135433,17.0675816,0
51.1134683,17.0673083,902
51.1133833,17.0670466,0
51.1133133,17.0667700,0
51.1132533,17.0664816,0
